Stars,Company,Words_Headline,Words_Comment
5,Octopus Energy Germany,7.0,13.0
5,Octopus Energy Germany,2.0,17.0
4,Octopus Energy Germany,2.0,4.0
5,Octopus Energy Germany,1.0,17.0
5,Octopus Energy Germany,6.0,32.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,5.0,9.0
5,Octopus Energy Germany,4.0,45.0
5,Octopus Energy Germany,3.0,17.0
3,Octopus Energy Germany,2.0,22.0
5,Octopus Energy Germany,4.0,7.0
4,Octopus Energy Germany,6.0,9.0
4,Octopus Energy Germany,6.0,8.0
4,Octopus Energy Germany,2.0,30.0
5,Octopus Energy Germany,5.0,11.0
4,Octopus Energy Germany,4.0,29.0
5,Octopus Energy Germany,1.0,14.0
5,Octopus Energy Germany,2.0,17.0
5,Octopus Energy Germany,6.0,26.0
5,Octopus Energy Germany,3.0,22.0
5,Octopus Energy Germany,7.0,13.0
5,Octopus Energy Germany,1.0,49.0
5,Octopus Energy Germany,3.0,4.0
5,Octopus Energy Germany,3.0,7.0
5,Octopus Energy Germany,4.0,12.0
4,Octopus Energy Germany,3.0,12.0
5,Octopus Energy Germany,2.0,5.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,2.0,49.0
4,Octopus Energy Germany,5.0,8.0
4,Octopus Energy Germany,4.0,0.0
1,Octopus Energy Germany,2.0,102.0
5,Octopus Energy Germany,6.0,8.0
5,Octopus Energy Germany,6.0,15.0
5,Octopus Energy Germany,6.0,10.0
5,Octopus Energy Germany,5.0,10.0
5,Octopus Energy Germany,2.0,20.0
5,Octopus Energy Germany,2.0,4.0
4,Octopus Energy Germany,2.0,8.0
4,Octopus Energy Germany,5.0,15.0
5,Octopus Energy Germany,5.0,6.0
5,Octopus Energy Germany,4.0,18.0
5,Octopus Energy Germany,1.0,33.0
4,Octopus Energy Germany,3.0,22.0
5,Octopus Energy Germany,6.0,9.0
4,Octopus Energy Germany,1.0,11.0
5,Octopus Energy Germany,5.0,9.0
5,Octopus Energy Germany,2.0,10.0
5,Octopus Energy Germany,3.0,5.0
5,Octopus Energy Germany,3.0,4.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,5.0,18.0
5,Octopus Energy Germany,5.0,7.0
5,Octopus Energy Germany,2.0,6.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,5.0,12.0
5,Octopus Energy Germany,5.0,5.0
5,Octopus Energy Germany,3.0,12.0
4,Octopus Energy Germany,3.0,10.0
5,Octopus Energy Germany,4.0,78.0
5,Octopus Energy Germany,6.0,0.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,6.0,22.0
5,Octopus Energy Germany,6.0,15.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,6.0,12.0
5,Octopus Energy Germany,3.0,5.0
5,Octopus Energy Germany,8.0,36.0
5,Octopus Energy Germany,2.0,3.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,5.0,0.0
5,Octopus Energy Germany,2.0,4.0
5,Octopus Energy Germany,3.0,11.0
5,Octopus Energy Germany,5.0,6.0
5,Octopus Energy Germany,1.0,51.0
5,Octopus Energy Germany,5.0,0.0
5,Octopus Energy Germany,2.0,6.0
5,Octopus Energy Germany,5.0,0.0
4,Octopus Energy Germany,3.0,18.0
5,Octopus Energy Germany,3.0,5.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,3.0,59.0
5,Octopus Energy Germany,3.0,20.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,3.0,19.0
5,Octopus Energy Germany,1.0,7.0
4,Octopus Energy Germany,5.0,6.0
5,Octopus Energy Germany,6.0,9.0
5,Octopus Energy Germany,2.0,43.0
5,Octopus Energy Germany,4.0,2.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,2.0,17.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,8.0,13.0
4,Octopus Energy Germany,5.0,0.0
5,Octopus Energy Germany,1.0,10.0
5,Octopus Energy Germany,4.0,0.0
3,Octopus Energy Germany,1.0,10.0
4,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,6.0,12.0
5,Octopus Energy Germany,3.0,6.0
4,Octopus Energy Germany,2.0,6.0
5,Octopus Energy Germany,3.0,7.0
5,Octopus Energy Germany,2.0,0.0
4,Octopus Energy Germany,1.0,4.0
5,Octopus Energy Germany,5.0,0.0
5,Octopus Energy Germany,2.0,4.0
5,Octopus Energy Germany,1.0,54.0
5,Octopus Energy Germany,2.0,8.0
5,Octopus Energy Germany,6.0,9.0
5,Octopus Energy Germany,5.0,0.0
5,Octopus Energy Germany,2.0,5.0
5,Octopus Energy Germany,3.0,5.0
5,Octopus Energy Germany,4.0,5.0
5,Octopus Energy Germany,5.0,14.0
5,Octopus Energy Germany,2.0,7.0
5,Octopus Energy Germany,3.0,11.0
5,Octopus Energy Germany,3.0,16.0
4,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,5.0,41.0
4,Octopus Energy Germany,5.0,20.0
5,Octopus Energy Germany,2.0,28.0
5,Octopus Energy Germany,2.0,4.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,2.0,18.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,3.0,6.0
5,Octopus Energy Germany,3.0,5.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,3.0,5.0
4,Octopus Energy Germany,7.0,21.0
5,Octopus Energy Germany,3.0,8.0
5,Octopus Energy Germany,7.0,102.0
5,Octopus Energy Germany,5.0,29.0
5,Octopus Energy Germany,6.0,7.0
5,Octopus Energy Germany,6.0,0.0
5,Octopus Energy Germany,2.0,21.0
5,Octopus Energy Germany,2.0,5.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,3.0,9.0
5,Octopus Energy Germany,4.0,5.0
5,Octopus Energy Germany,1.0,28.0
5,Octopus Energy Germany,6.0,7.0
4,Octopus Energy Germany,7.0,11.0
5,Octopus Energy Germany,5.0,0.0
5,Octopus Energy Germany,5.0,6.0
5,Octopus Energy Germany,2.0,12.0
5,Octopus Energy Germany,5.0,0.0
5,Octopus Energy Germany,2.0,7.0
5,Octopus Energy Germany,5.0,12.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,6.0,20.0
5,Octopus Energy Germany,7.0,21.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,5.0,15.0
5,Octopus Energy Germany,4.0,6.0
5,Octopus Energy Germany,4.0,29.0
3,Octopus Energy Germany,5.0,18.0
5,Octopus Energy Germany,5.0,12.0
5,Octopus Energy Germany,10.0,19.0
5,Octopus Energy Germany,5.0,22.0
5,Octopus Energy Germany,3.0,10.0
4,Octopus Energy Germany,2.0,18.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,2.0,4.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,4.0,7.0
4,Octopus Energy Germany,1.0,6.0
5,Octopus Energy Germany,4.0,22.0
5,Octopus Energy Germany,6.0,21.0
5,Octopus Energy Germany,2.0,5.0
